,City,State,Latitude,Longitude,Accuracy Score,Accuracy Type,State.1,County,Zip,Country,Congressional District,status,statusText,color
38,Mesilla,New Mexico,32.267993,-106.80586699999999,1.0,place,NM,Doa Ana County,88046.0,US,NM2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
39,Rio Rancho,New Mexico,35.268498,-106.78368200000001,1.0,place,NM,Sandoval County,87124.0,US,NM3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
40,Santa Fe,New Mexico,35.697472999999995,-105.982146,1.0,place,NM,Santa Fe County,87501.0,US,NM3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
41,Silver City,New Mexico,32.853738,-108.33076399999999,1.0,place,NM,Grant County,88061.0,US,NM2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
42,Charleston,South Carolina,32.780326,-79.940844,1.0,place,SC,Charleston County,29401.0,US,SC1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
43,Columbia,South Carolina,33.987454,-81.02486400000001,1.0,place,SC,Richland County,29201.0,US,SC6,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
44,Goose Creek,South Carolina,33.057972,-80.010088,1.0,place,SC,Berkeley County,29445.0,US,SC6,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
45,Greenville,South Carolina,34.848566999999996,-82.40287099999999,1.0,place,SC,Greenville County,29601.0,US,SC4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
46,Hilton Head,South Carolina,32.213190000000004,-80.79969799999999,0.33,place,SC,Beaufort County,29925.0,US,SC1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
47,Mount Pleasant,South Carolina,32.847273,-79.820563,1.0,place,SC,Charleston County,29464.0,US,SC1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
48,North Charleston,South Carolina,32.853019,-79.991295,1.0,place,SC,Charleston County,29405.0,US,SC6,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
49,Rock Hill,South Carolina,34.909109,-81.052437,1.0,place,SC,York County,29730.0,US,SC5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
50,Summerville,South Carolina,33.051384000000006,-80.18854,1.0,place,SC,Dorchester County,29483.0,US,SC1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
51,Sumter,South Carolina,33.913678000000004,-80.354238,1.0,place,SC,Sumter County,29150.0,US,SC5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
52,Altoona,Wisconsin,44.803612,-91.44225300000001,1.0,place,WI,Eau Claire County,54720.0,US,WI3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
53,Glendale,Wisconsin,43.135288,-87.935642,0.8,place,WI,Milwaukee County,53209.0,US,WI4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
54,Mequon,Wisconsin,43.242049,-88.009823,1.0,place,WI,Ozaukee County,53097.0,US,WI6,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
55,Racine,Wisconsin,42.727153,-87.675979,1.0,place,WI,Racine County,53401.0,US,WI1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
56,Shorewood,Wisconsin,43.089179,-87.887585,0.9,place,WI,Milwaukee County,53211.0,US,WI4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
57,Superior,Wisconsin,46.574982,-92.11757800000001,1.0,place,WI,Douglas County,54880.0,US,WI7,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
58,Waukesha,Wisconsin,43.022155,-88.204676,1.0,place,WI,Waukesha County,53186.0,US,WI5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
59,Wauwatosa,Wisconsin,43.049457000000004,-88.007588,0.9,place,WI,Milwaukee County,53213.0,US,WI5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
60,Aguilar,Colorado,37.381577,-104.653809,1.0,place,CO,Las Animas County,81020.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
61,Alma,Colorado,39.283879999999996,-106.0628,1.0,place,CO,Park County,80420.0,US,CO5,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
62,Berthoud,Colorado,40.30832,-105.08108999999999,1.0,place,CO,Larimer County,80513.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
63,Blue River,Colorado,40.0874759,-108.8048292,0.0,,CO,,,,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
64,Brush,Colorado,40.218546999999994,-103.613248,1.0,place,CO,Morgan County,80723.0,US,CO4,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
65,Central City,Colorado,39.80193,-105.51416,1.0,place,CO,Gilpin County,80427.0,US,CO2,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
66,Columbine Valley,Colorado,39.601099,-105.032206,0.8,place,CO,Arapahoe County,80123.0,US,CO1,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
67,Commerce City,Colorado,39.869834999999995,-104.771527,1.0,place,CO,Adams County,80022.0,US,CO7,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
68,De Beque,Colorado,39.292409,-108.21068799999999,1.0,place,CO,Mesa County,81630.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
69,Del Norte,Colorado,37.644684000000005,-106.407311,1.0,place,CO,Rio Grande County,81132.0,US,CO3,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
70,Edgewater,Colorado,39.753043,-105.06415,0.9,place,CO,Jefferson County,80214.0,US,CO7,0,Ordinance Active - With No Response,"rgb(255, 0, 0)"
